PNR,SourceSystemTicketingDate,SupplierTicketingDate,SourceSystem,SupplierName,SourceSystemStatus,SupplierStatus,IsOrphan,PCC,TicketingAgentSignOn
DCR85V,,2025-09-10T07:21:10.102+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCR83W,,2025-09-10T07:20:59.899+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCR8W5,,2025-09-10T07:27:19.907+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCR15Q,,2025-09-10T07:23:56.363+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCR9L7,,2025-09-10T07:25:02.331+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCR9QS,,2025-09-10T07:25:26.757+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCRBTX,,2025-09-10T07:28:21.470+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCRC0T,,2025-09-10T07:28:58.405+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCRBSJ,,2025-09-10T07:28:14.671+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCRCZM,,2025-09-10T07:31:47.510+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCRCJ8,,2025-09-10T07:30:23.562+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCRD2M,,2025-09-10T07:32:03.825+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCRF4X,,2025-09-10T07:35:17.365+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCRFBC,,2025-09-10T07:35:45.548+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCRFHW,,2025-09-10T07:36:18.592+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCRFW8,,2025-09-10T07:37:16.226+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
ODHR7B,,2025-09-10T06:59:43.575+00:00,,Galileo,,Ticketed,TRUE,,
DCRG20,,2025-09-10T07:37:44.655+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCRG7F,,2025-09-10T07:38:12.148+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCRGMF,,2025-09-10T07:39:14.726+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCRGT2,,2025-09-10T07:39:49.405+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCRH19,,2025-09-10T07:40:31.310+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCS5VC,,2025-09-10T08:34:15.370+00:00,,Galileo,,Ticketed,TRUE,52AU,Z52AUGWS
DCRK6N,,2025-09-10T07:46:12.490+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCRL2F,,2025-09-10T07:48:28.285+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCRM0R,,2025-09-10T07:50:58.131+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCRL8N,,2025-09-10T07:49:01.134+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCRM4V,,2025-09-10T07:51:20.184+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCRP9Z,,2025-09-10T07:56:42.558+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCRN8G,,2025-09-10T07:54:04.340+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCRPF8,,2025-09-10T07:57:00.458+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCRPMC,,2025-09-10T07:57:31.921+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCRD2Q,,2025-09-10T07:57:15.826+00:00,,Galileo,,Ticketed,TRUE,D40,ZWV5GWS
DCRQVH,,2025-09-10T08:00:26.473+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
LBTM5U,,2025-09-10T07:28:56.484+00:00,,Galileo,,Ticketed,TRUE,,
DCRQSM,,2025-09-10T08:00:18.012+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCRRBG,,2025-09-10T08:01:39.361+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCRRPT,,2025-09-10T08:02:31.997+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCRRX8,,2025-09-10T08:02:57.649+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCRSJ4,,2025-09-10T08:04:25.001+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCRTD9,,2025-09-10T08:06:32.073+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCRTPC,,2025-09-10T08:07:19.279+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCRVD3,,2025-09-10T08:09:00.115+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCRRDC,,2025-09-10T08:07:45.340+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCRVJF,,2025-09-10T08:09:16.126+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
W28E3V,,2025-09-10T07:37:27.799+00:00,,Galileo,,Ticketed,TRUE,,
DCRWCB,,2025-09-10T08:11:20.108+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCRVWT,,2025-09-10T08:10:09.037+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCRWFX,,2025-09-10T08:11:34.049+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCRWKZ,,2025-09-10T08:11:54.077+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCRWSF,,2025-09-10T08:12:24.217+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCRWS9,,2025-09-10T08:12:23.910+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCRXDV,,2025-09-10T08:13:52.993+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCRYMJ,,2025-09-10T08:16:50.711+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCRXF0,,2025-09-10T08:13:56.564+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCRZGX,,2025-09-10T08:18:56.820+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCRZRR,,2025-09-10T08:19:41.076+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCRZXB,,2025-09-10T08:20:04.096+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCRZZF,,2025-09-10T08:20:15.015+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCS029,,2025-09-10T08:20:29.016+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCS073,,2025-09-10T08:20:51.536+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCS0XP,,2025-09-10T08:22:48.088+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCS1M6,,2025-09-10T08:24:18.010+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCS208,,2025-09-10T08:25:10.728+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCS244,,2025-09-10T08:25:29.185+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCS2CV,,2025-09-10T08:26:03.819+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCS32F,,2025-09-10T08:27:47.916+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
QD5Y8R,,2025-09-10T08:02:41.451+00:00,,Galileo,,Ticketed,TRUE,,
DCS363,,2025-09-10T08:28:04.541+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCS36C,,2025-09-10T08:28:05.673+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCS4C2,,2025-09-10T08:30:46.310+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCS476,,2025-09-10T08:30:26.947+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCSXBR,,2025-09-10T09:24:40.624+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCS54F,,2025-09-10T08:32:33.159+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCS4PK,,2025-09-10T08:31:32.325+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
H7UVHD,,2025-09-10T08:10:33.387+00:00,,Galileo,,Ticketed,TRUE,,
DCS5W4,,2025-09-10T08:34:19.977+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCS60H,,2025-09-10T08:34:36.135+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCS6DC,,2025-09-10T08:35:28.813+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCS5XZ,,2025-09-10T08:34:28.217+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCS7DC,,2025-09-10T08:37:50.831+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCS7H1,,2025-09-10T08:38:03.259+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCS7DK,,2025-09-10T08:37:51.169+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCS7Z8,,2025-09-10T08:39:11.735+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCS8D0,,2025-09-10T08:40:12.113+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCS871,,2025-09-10T08:39:49.323+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCS8JT,,2025-09-10T08:40:33.705+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCS9FR,,2025-09-10T08:42:31.883+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCSB65,,2025-09-10T08:44:14.384+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCRYQK,,2025-09-10T08:42:44.044+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCSBYK,,2025-09-10T08:45:55.805+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCJS0C,,2025-09-10T08:46:37.099+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
Q693FJ,,2025-09-10T08:27:04.200+00:00,,Galileo,,Ticketed,TRUE,,
DCSDC5,,2025-09-10T08:49:03.752+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCSCFX,,2025-09-10T08:47:02.211+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCSFQQ,,2025-09-10T08:52:06.952+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCSDDN,,2025-09-10T08:49:08.346+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCSGXK,,2025-09-10T08:54:43.976+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCSHQ4,,2025-09-10T08:56:33.594+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCSJ89,,2025-09-10T08:57:45.424+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCSJQF,,2025-09-10T08:58:49.553+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCSJYR,,2025-09-10T08:59:26.094+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCSJBY,,2025-09-10T08:59:52.407+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCSL0G,,2025-09-10T09:01:52.283+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
Y8IH9D,,2025-09-10T08:42:18.625+00:00,,Galileo,,Ticketed,TRUE,,
OD51RE,,2025-09-10T08:40:43.840+00:00,,Galileo,,Ticketed,TRUE,,
DCSLZW,,2025-09-10T09:03:59.244+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCSMW0,,2025-09-10T09:05:53.072+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCSLL4,,2025-09-10T09:03:06.119+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DBYZGH,,2025-09-10T08:45:41.263+00:00,,Galileo,,Ticketed,TRUE,,
DCSMGL,,2025-09-10T09:05:04.593+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCSNJC,,2025-09-10T09:07:20.259+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCSNKX,,2025-09-10T09:07:27.664+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCSP52,,2025-09-10T09:08:42.184+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCSM4K,,2025-09-10T09:09:24.601+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCSPKW,,2025-09-10T09:09:33.674+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCSPPN,,2025-09-10T09:09:51.232+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCSPVG,,2025-09-10T09:10:11.190+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCSPJJ,,2025-09-10T09:09:28.593+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCSQ8M,,2025-09-10T09:11:14.427+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCSQYY,,2025-09-10T09:12:49.208+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCSRDF,,2025-09-10T09:13:50.163+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCSRX3,,2025-09-10T09:14:52.542+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCSS17,,2025-09-10T09:15:11.253+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCSS6W,,2025-09-10T09:15:33.344+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCSSHW,,2025-09-10T09:16:15.744+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCSTRR,,2025-09-10T09:19:07.584+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCSVPD,,2025-09-10T09:21:06.043+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCSVKC,,2025-09-10T09:20:46.876+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCSTVJ,,2025-09-10T09:21:09.715+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCSWLS,,2025-09-10T09:23:08.806+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCSWSN,,2025-09-10T09:23:33.718+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCSXVW,,2025-09-10T09:25:52.396+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCSY3C,,2025-09-10T09:26:23.563+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCT1CZ,,2025-09-10T09:33:54.198+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCT1JS,,2025-09-10T09:34:15.649+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCSYQ3,,2025-09-10T09:27:47.158+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCT22Z,,2025-09-10T09:35:35.922+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCT34X,,2025-09-10T09:37:59.725+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCT3FB,,2025-09-10T09:38:36.876+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCT1TM,,2025-09-10T09:38:07.140+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCT5SM,,2025-09-10T09:43:41.259+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCT4WQ,,2025-09-10T09:41:43.209+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCT6KC,,2025-09-10T09:45:24.480+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCT92W,,2025-09-10T09:51:15.582+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCT8QN,,2025-09-10T09:51:50.986+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCT9Z5,,2025-09-10T09:53:08.934+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCT9Z3,,2025-09-10T09:53:08.926+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCTBMF,,2025-09-10T09:54:37.392+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCT9XK,,2025-09-10T09:53:03.861+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCTC1B,,2025-09-10T09:55:31.805+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCTCRR,,2025-09-10T09:57:13.562+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCTGXW,,2025-09-10T10:04:48.262+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCTJCK,,2025-09-10T10:08:07.215+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCTHBG,,2025-09-10T10:05:50.541+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
O68PHJ,,2025-09-10T09:12:15.247+00:00,,Galileo,,Ticketed,TRUE,,
DCTJJX,,2025-09-10T10:08:31.975+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCTJP0,,2025-09-10T10:08:50.444+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCTFCW,,2025-09-10T10:08:16.787+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCTK20,,2025-09-10T10:09:49.612+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCNB9M,,2025-09-10T10:13:05.556+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCTLM3,,2025-09-10T10:13:20.912+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCTM4M,,2025-09-10T10:14:32.229+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCTMGC,,2025-09-10T10:15:14.874+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCTMNP,,2025-09-10T10:15:42.471+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCTMK9,,2025-09-10T10:15:27.577+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCTNQS,,2025-09-10T10:18:04.714+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCTMWL,,2025-09-10T10:16:12.907+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCTNVB,,2025-09-10T10:18:20.790+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCTPLK,,2025-09-10T10:20:00.119+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCTR64,,2025-09-10T10:23:39.717+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCTRB0,,2025-09-10T10:24:00.101+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCTS53,,2025-09-10T10:26:01.129+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCTTCD,,2025-09-10T10:29:09.343+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCTSBH,,2025-09-10T10:26:26.345+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCTTBV,,2025-09-10T10:29:05.568+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCVN1C,,2025-09-10T11:32:29.304+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCTWRN,,2025-09-10T10:32:32.153+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCTXM5,,2025-09-10T10:34:42.671+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCTY7H,,2025-09-10T10:36:08.149+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCTYLG,,2025-09-10T10:36:57.246+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCTZ25,,2025-09-10T10:38:05.367+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCV006,,2025-09-10T10:40:27.012+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCV16Z,,2025-09-10T10:43:26.388+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCV2H6,,2025-09-10T10:46:45.079+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
RZE5WB,,2025-09-10T10:01:16.687+00:00,,Galileo,,Ticketed,TRUE,,
DCV3BG,,2025-09-10T10:48:51.131+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCV3ZQ,,2025-09-10T10:50:22.963+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCV4DY,,2025-09-10T10:51:29.963+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCV4RY,,2025-09-10T10:52:23.476+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCV4P8,,2025-09-10T10:52:11.165+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCV4SD,,2025-09-10T10:52:25.437+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCV5D3,,2025-09-10T10:54:01.626+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCTZK1,,2025-09-10T10:56:52.879+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCV6MS,,2025-09-10T10:57:07.783+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCV6QY,,2025-09-10T10:57:23.965+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCTNL2,,2025-09-10T11:00:20.404+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCV75Y,,2025-09-10T10:58:33.042+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCV7X3,,2025-09-10T11:00:27.108+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCV81D,,2025-09-10T11:00:47.191+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCV809,,2025-09-10T11:00:42.763+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCV8BP,,2025-09-10T11:01:29.429+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCV8X1,,2025-09-10T11:02:57.827+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCV8WB,,2025-09-10T11:02:55.015+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCV8YB,,2025-09-10T11:03:03.499+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCVBT7,,2025-09-10T11:07:59.595+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCV9WX,,2025-09-10T11:05:32.595+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCV965,,2025-09-10T11:03:42.765+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCVC7S,,2025-09-10T11:09:09.352+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCVC7Z,,2025-09-10T11:09:09.914+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCVB4P,,2025-09-10T11:08:27.766+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCVC9K,,2025-09-10T11:09:16.233+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCVDFD,,2025-09-10T11:12:08.878+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCVCJG,,2025-09-10T11:09:52.777+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCVFZD,,2025-09-10T11:16:10.264+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCVG3W,,2025-09-10T11:16:35.605+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCVFM6,,2025-09-10T11:15:05.770+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCVGC3,,2025-09-10T11:17:12.490+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCVGJ5,,2025-09-10T11:17:41.040+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
UZKQ7L,,2025-09-10T10:55:05.659+00:00,,Galileo,,Ticketed,TRUE,,
DCVH0S,,2025-09-10T11:19:05.463+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
